<DOC>	<DOC>+BDTag
ödeme	ödeme+NOUN+A3SG+PNON+NOM
yapmalarını	yap+VERB+POS^DB+NOUN+INF2+A3PL+P2SG+ACC
İSTİYOR	iste+VERB+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Temyiz	temyiz+NOUN+A3SG+PNON+NOM
mahkemesi	mahkeme+NOUN+A3SG+P3SG+NOM
her	her+DET
iki	iki+NUM+CARD
yönde	yön+NOUN+A3SG+PNON+LOC
de	de+CONJ
karar	karar+NOUN+A3SG+PNON+NOM
vermedi	ver+VERB+NEG+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Yaklaşık	yaklaşık+ADJ
%	%+PERCENT
36	36+NUM+CARD
karşılanmayan	karşı+ADJ^DB+VERB+ACQUIRE+NEG^DB+ADJ+PRESPART
yasal	yasal+ADJ
ihtiyaçları	ihtiyaç+NOUN+A3PL+P3SG+NOM
olarak	ol+VERB+POS^DB+ADV+BYDOINGSO
konut	konut+NOUN+A3SG+PNON+NOM
problemlerini	problem+NOUN+A3PL+P3PL+ACC
sıraladı	sırala+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Savcı	savcı+NOUN+A3SG+PNON+NOM
Gibson	gibson+NOUN+PROP+A3SG+PNON+NOM
Dunn'a	dunn+NOUN+PROP+A3SG+PNON+DAT
KATILIYOR	katıl+VERB+POS+PROG1+A3SG
:	:+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
1987'de	1987+NUM+CARD^DB+NOUN+ZERO+A3SG+PNON+LOC
hukuk	hukuk+NOUN+A3SG+PNON+NOM
davaları	dava+NOUN+A3PL+P3SG+NOM
bölümünün	bölüm+NOUN+A3SG+P3SG+GEN
yardımcı	yardım+NOUN+A3SG+PNON+NOM^DB+ADJ+AGT
başkanı	başkan+NOUN+A3SG+PNON+ACC
oldu	ol+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Taraflardan	taraf+NOUN+A3PL+PNON+ABL
hiçbiri	hiçbiri+PRON+QUANTP+A3SG+P3SG+NOM
yorum	yorum+NOUN+A3SG+PNON+NOM
yapmadı	yap+VERB+NEG+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Miktar	miktar+NOUN+A3SG+PNON+NOM
açıklanmadı	açıkla+VERB^DB+VERB+PASS+NEG+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Daha	daha+ADV
az	az+ADV
sıkı	sıkı+ADJ
türden	tür+NOUN+A3SG+PNON+ABL
bir	bir+ADJ
Senato	senato+NOUN+A3SG+PNON+NOM
versiyonu	versiyon+NOUN+A3SG+P3SG+NOM
aşağı	aşağı+ADV
yukarı	yukarı+POSTP+PCABL
beş	beş+NUM+CARD
yıl	yıl+NOUN+A3SG+PNON+NOM
için	için+POSTP+PCNOM
düşülebilirliği	düş+VERB^DB+VERB+PASS+POS^DB+VERB+ABLE+AOR^DB+ADJ+ZERO^DB+NOUN+NESS+A3SG+P3SG+NOM
ertelerdi	ertele+VERB+POS+AOR+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Birçok	birçok+DET
Wall	wall+NOUN+PROP+A3SG+PNON+NOM
Street	street+NOUN+PROP+A3SG+PNON+NOM
çalışanı	çalış+VERB+POS^DB+ADJ+PRESPART^DB+NOUN+ZERO+A3SG+P3SG+NOM
teklif	teklif+NOUN+A3SG+PNON+NOM
edilen	et+VERB^DB+VERB+PASS+POS^DB+ADJ+PRESPART
yasanın	yasa+NOUN+A3SG+P2SG+GEN
çoktan	çoktan+ADV
bir	bir+ADJ
etkisi	etki+NOUN+A3SG+P3SG+NOM
olduğunu	ol+VERB+POS^DB+NOUN+PASTPART+A3SG+P3SG+ACC
söylüyor	söyle+VERB+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Senato	senato+NOUN+A3SG+PNON+NOM
tasarısı	tasarı+NOUN+A3SG+P3SG+NOM
kesintiyi	kesinti+NOUN+A3SG+PNON+ACC
yalnızca	yalnızca+ADV
faiz	faiz+NOUN+A3SG+PNON+NOM
fiilen	fiilen+ADV
ödenene	öde+VERB^DB+VERB+PASS+POS^DB+ADJ+PRESPART^DB+NOUN+ZERO+A3SG+PNON+DAT
kadar	kadar+POSTP+PCDAT
reddeder	reddet+VERB+POS+AOR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
ABD	abd+NOUN+PROP+A3SG+PNON+NOM
Temsilciler	temsilci+NOUN+A3PL+PNON+NOM
Meclisi	meclis+NOUN+A3SG+P3SG+NOM
versiyonu	versiyon+NOUN+A3SG+P3SG+NOM
biraz	biraz+ADV
daha	daha+ADV
attırırdı	at+VERB^DB+VERB+CAUS+POS+AOR+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
``	``+PUNC
Faiz	faiz+NOUN+A3SG+PNON+NOM
kesintisi	kesinti+NOUN+A3SG+P3SG+NOM
bu	bu+DET
işleri	iş+NOUN+A3PL+PNON+ACC
daha	daha+ADV
üretken	üretken+ADJ
hâle	hâl+NOUN+A3SG+PNON+DAT
getiren	getir+VERB+POS^DB+ADJ+PRESPART
makineydi	makine+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Başkan	başkan+NOUN+A3SG+PNON+NOM
Bush	bush+NOUN+PROP+A3SG+PNON+NOM
yedi	yedi+NUM+CARD
Kuzey	kuzey+ADJ
Kaliforniya	kaliforniya+NOUN+PROP+A3SG+PNON+NOM
bölgesini	bölge+NOUN+A3SG+P3SG+ACC
kapsayan	kapsa+VERB+POS^DB+ADJ+PRESPART
felaket	felaket+NOUN+A3SG+PNON+NOM
bir	bir+ADJ
deklarasyon	deklarasyon+NOUN+A3SG+PNON+NOM
imzaladı	imzala+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Yiyecek	yiyecek+NOUN+A3SG+PNON+NOM
pişirebilen	pişir+VERB+POS^DB+VERB+ABLE^DB+ADJ+PRESPART
yirmi	yirmi+NUM+CARD
beş	beş+NUM+CARD
kamyon	kamyon+NOUN+A3SG+PNON+NOM
diğer	diğer+ADJ
eyaletlerden	eyalet+NOUN+A3PL+PNON+ABL
sevk	sevk+NOUN+A3SG+PNON+NOM
edildi	et+VERB^DB+VERB+PASS+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Yine	yine+ADV
de	de+CONJ
,	,+PUNC
Washington'dan	washington+NOUN+PROP+A3SG+PNON+ABL
bazı	bazı+ADJ
yardımlar	yardım+NOUN+A3PL+PNON+NOM
neredeyse	neredeyse+ADV
derhâl	derhâl+ADV
batıya	batı+NOUN+A3SG+PNON+DAT
doğru	doğru+ADJ
hareket	hareket+NOUN+A3SG+PNON+NOM
ediyor	et+VERB+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Büro	büro+NOUN+A3SG+PNON+NOM
gelecek	gelecek+NOUN+A3SG+PNON+NOM
günlerde	gün+NOUN+A3PL+PNON+LOC
belirli	belirli+ADJ
bağış	bağış+NOUN+A3SG+PNON+NOM
prosedürleri	prosedür+NOUN+A3PL+P3SG+NOM
duyurmayı	duyur+VERB+POS^DB+NOUN+INF2+A3SG+PNON+ACC
planlıyor	planla+VERB+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Hesapta	hesap+NOUN+A3SG+PNON+LOC
şu	şu+DET
anda	an+NOUN+A3SG+PNON+LOC
220	220+NUM+CARD
milyon	milyon+NUM+CARD
Amerikan	amerikan+NOUN+A3SG+PNON+NOM
Doları	dolar+NOUN+A3SG+P3SG+NOM
var	var+ADJ
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
I-880	I-880+NOUN+PROP+A3SG+PNON+NOM
bölümü	bölüm+NOUN+A3SG+P3SG+NOM
donanım	donanım+NOUN+A3SG+PNON+NOM
iyileştirmenin	iyi+ADJ^DB+VERB+BECOME^DB+VERB+CAUS+POS^DB+NOUN+INF2+A3SG+P2SG+GEN
ilk	ilk+ADJ
aşamasını	aşama+NOUN+A3SG+P3SG+ACC
tamamladı	tamamla+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Laurie	laurie+NOUN+PROP+A3SG+PNON+NOM
McGinley	McGinley+NOUN+PROP+A3SG+PNON+NOM
bu	bu+DET
makaleye	makale+NOUN+A3SG+PNON+DAT
katkıda	katkı+NOUN+A3SG+PNON+LOC
bulundu	bul+VERB^DB+VERB+PASS+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Çiftçiler	çiftçi+NOUN+A3PL+PNON+NOM
bol	bol+ADJ
mahsulü	mahsul+NOUN+A3SG+PNON+ACC
topluyor	topla+VERB+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Peki	peki+ADV
alışveriş	alışveriş+NOUN+A3SG+PNON+NOM
yapanlar	yap+VERB+POS^DB+ADJ+PRESPART^DB+NOUN+ZERO+A3PL+PNON+NOM
bundan	bu+PRON+DEMONSP+A3SG+PNON+ABL
ne	ne+PRON+QUESP+A3SG+PNON+NOM
kadar	kadar+POSTP+PCDAT
faydalanacak	fayda+NOUN+A3SG+PNON+NOM^DB+VERB+ACQUIRE+POS+FUT+A3SG
?	?+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Soya	soya+NOUN+A3SG+PNON+NOM
fasulyesi	fasulye+NOUN+A3SG+P3SG+NOM
üretimi	üretim+NOUN+A3SG+P3SG+NOM
%	%+PERCENT
24	24+NUM+CARD
artıyor	art+VERB+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Gelecek	gelecek+NOUN+A3SG+PNON+NOM
yıl	yıl+NOUN+A3SG+PNON+NOM
yüzde	yüzde+NOUN+A3SG+PNON+NOM
bir	bir+ADJ
noktasında	nokta+NOUN+A3SG+P3SG+LOC
bir	bir+ADJ
düşüş	düş+VERB+POS^DB+NOUN+INF3+A3SG+PNON+NOM
görebilir	gör+VERB+POS^DB+VERB+ABLE+AOR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Yiyecek	yiyecek+NOUN+A3SG+PNON+NOM
şirketleri	şirket+NOUN+A3PL+P3SG+NOM
diğer	diğer+ADJ
maliyetleri	maliyet+NOUN+A3PL+P3SG+NOM
suçlayarak	suçla+VERB+POS^DB+ADV+BYDOINGSO
,	,+PUNC
muhtemelen	muhtemelen+ADV
fiyatlarını	fiyat+NOUN+A3PL+P3PL+ACC
fazla	fazla+ADV
düşürmeyecek	düşür+VERB+NEG+FUT+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Stokely	Stokely+NOUN+PROP+A3SG+PNON+NOM
mağazaların	mağaza+NOUN+A3PL+PNON+GEN
üç	üç+NUM+CARD
konserve	konserve+NOUN+A3SG+PNON+NOM
kutu	kutu+NOUN+A3SG+PNON+NOM
nohut	nohut+NOUN+A3SG+PNON+NOM
99	99+NUM+CARD
cent	cent+NOUN+A3SG+PNON+NOM
gibi	gibi+POSTP+PCNOM
özel	özel+ADJ
durumlar	durum+NOUN+A3PL+PNON+NOM
ortaya	orta+NOUN+A3SG+PNON+DAT
koyabileceğini	koy+VERB+POS^DB+VERB+ABLE^DB+NOUN+FUTPART+A3SG+P3SG+ACC
söylüyor	söyle+VERB+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
kuraklık	kuraklık+NOUN+A3SG+PNON+NOM
dönemi	dönem+NOUN+A3SG+P3SG+NOM
esnasında	esnasında+ADV
İki	iki+NUM+CARD
konserve	konserve+NOUN+A3SG+PNON+NOM
kutusu	kutu+NOUN+A3SG+P3SG+NOM
89	89+NUM+CARD
sente	sent+NOUN+A3SG+PNON+DAT
tekabül	tekabül+NOUN+A3SG+PNON+NOM
ediyor	et+VERB+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bazı	bazı+ADJ
çiftler	çift+ADJ^DB+VERB+ZERO+PRES+A3PL
denemeye	deneme+NOUN+A3SG+PNON+DAT
devam	devam+NOUN+A3SG+PNON+NOM
ediyor	et+VERB+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
PİYASALAR	piyasa+NOUN+A3PL+PNON+NOM
hareket	hareket+NOUN+A3SG+PNON+NOM
EDİYOR	et+VERB+POS+PROG1+A3SG
,	,+PUNC
bu	bu+DET
müdürler	müdür+NOUN+A3PL+PNON+NOM
ise	i+VERB+POS+DESR+A3SG
etmiyor	et+VERB+NEG+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
DÜNYADAKİ	dünya+NOUN+A3SG+PNON+LOC^DB+ADJ+REL
GARİPLİKLER	garip+ADJ^DB+NOUN+NESS+A3PL+PNON+NOM
Guinnes	Guinnes+NOUN+PROP+A3SG+PNON+NOM
Rekorlar	rekor+NOUN+A3PL+PNON+NOM
Kitabı'nın	kitap+NOUN+A3SG+P3SG+GEN
multimedya	multimedya+NOUN+A3SG+PNON+NOM
versiyonunda	versiyon+NOUN+A3SG+P3SG+LOC
canlanıyor	can+NOUN+A3SG+PNON+NOM^DB+VERB+ACQUIRE+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Guinness	Guinness+NOUN+PROP+A3SG+PNON+NOM
diskinin	disk+NOUN+A3SG+PNON+NOM
harikaları	harika+ADJ^DB+NOUN+ZERO+A3PL+P3SG+NOM
arasında	ara+NOUN+A3SG+P3SG+LOC
:	:+PUNC
dünyanın	dünya+NOUN+A3SG+PNON+GEN
en	en+ADV
yüksek	yüksek+ADJ
sesle	ses+NOUN+A3SG+PNON+INS
kaydedilen	kaydedil+VERB+POS^DB+ADJ+PRESPART
geyiriği	geyiriği+NOUN+A3SG+PNON+NOM
bulunuyor	bulun+VERB+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
PACS	PACS+NOUN+PROP+A3SG+PNON+NOM
çalışanların	çalış+VERB+POS^DB+ADJ+PRESPART^DB+NOUN+ZERO+A3PL+PNON+GEN
en	en+ADV
favori	favori+ADJ
hayır	hayır+NOUN+A3SG+PNON+NOM
kuruluşları	kur+VERB^DB+VERB+PASS+POS^DB+NOUN+INF3+A3PL+P3SG+NOM
ile	ile+CONJ
birlikte	birlikte+ADV
kuşkulu	kuşku+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH
bir	bir+ADJ
düet	düet+NOUN+A3SG+PNON+NOM
içerisinde	içeri+NOUN+A3SG+P3SG+LOC
VERİP	ver+VERB+POS^DB+ADV+AFTERDOINGSO
ve	ve+CONJ
alıyor	al+VERB+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
En	en+ADV
Son	son+ADJ
onaylar	onay+NOUN+A3PL+PNON+NOM
:	:+PUNC
Bell	bell+NOUN+PROP+A3SG+PNON+NOM
Atlantic'in	atlantic+NOUN+PROP+A3SG+PNON+GEN
New	new+NOUN+PROP+A3SG+PNON+NOM
Jersey	jersey+NOUN+PROP+A3SG+PNON+NOM
Bell	bell+NOUN+PROP+A3SG+PNON+NOM
ve	ve+CONJ
Genel	genel+ADJ
Dinamikleri	dinamik+ADJ^DB+NOUN+ZERO+A3PL+PNON+ACC
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Ama	ama+CONJ
fayda	fayda+NOUN+A3SG+PNON+NOM
önümüzdeki	ön+NOUN+A3SG+P1PL+LOC^DB+ADJ+REL
sene	sene+NOUN+A3SG+PNON+NOM
devam	devam+NOUN+A3SG+PNON+NOM
etmeyebilir	et+VERB+NEG^DB+VERB+ABLE+AOR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
İki	iki+NUM+CARD
seçim	seçim+NOUN+A3SG+PNON+NOM
komisyonu	komisyon+NOUN+A3SG+P3SG+NOM
üyesi	üye+NOUN+A3SG+P3SG+NOM
eşleşen	eş+NOUN+A3SG+PNON+NOM^DB+VERB+BECOME+POS^DB+ADJ+PRESPART
planlara	plan+NOUN+A3PL+PNON+DAT
karşı	karşı+ADV
çıktı	çık+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
New	new+NOUN+PROP+A3SG+PNON+NOM
Jersey	jersey+NOUN+PROP+A3SG+PNON+NOM
Bell	bell+NOUN+PROP+A3SG+PNON+NOM
eyalet	eyalet+NOUN+A3SG+PNON+NOM
geçiş	geç+VERB+POS^DB+NOUN+INF3+A3SG+PNON+NOM
iznini	izin+NOUN+A3SG+P3SG+ACC
bekletiyor	bekle+VERB^DB+VERB+CAUS+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Noel	noel+NOUN+A3SG+PNON+NOM
ALIŞVERİŞÇİLERİ	ALIŞVERİŞÇİLERİ+NOUN+PROP+A3SG+PNON+NOM
bazı	bazı+DET
katalog	katalog+NOUN+A3SG+PNON+NOM
şirketlerinden	şirket+NOUN+A3PL+P3SG+ABL
yardım	yardım+NOUN+A3SG+PNON+NOM
alıyor	al+VERB+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
KISA	kısa+ADJ
HABERLER	haber+NOUN+A3PL+PNON+NOM
:	:+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
``	``+PUNC
Tavrımız	tavır+NOUN+A3SG+P1PL+NOM
(	(+PUNC
sıralama	sırala+VERB+POS^DB+NOUN+INF2+A3SG+PNON+NOM
)	)+PUNC
Miss	miss+NOUN+PROP+A3SG+PNON+NOM
America'nınki	america+NOUN+PROP+A3SG+PNON+GEN^DB+ADJ+REL
(	(+PUNC
Amerika	amerika+NOUN+PROP+A3SG+PNON+NOM
Güzeli	güzel+ADJ^DB+NOUN+ZERO+A3SG+P3SG+NOM
)	)+PUNC
gibi	gibi+POSTP+PCNOM
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bir	bir+ADJ
defa	defa+NOUN+A3SG+PNON+NOM
Amerika	amerika+NOUN+PROP+A3SG+PNON+NOM
Güzeli	güzel+ADJ^DB+NOUN+ZERO+A3SG+P3SG+NOM
seçildiğinizde	seç+VERB^DB+VERB+PASS+POS^DB+NOUN+PASTPART+A3SG+P2PL+LOC
,	,+PUNC
artık	artık+ADV
her	her+DET
zaman	zaman+NOUN+A3SG+PNON+NOM
Amerika	amerika+NOUN+PROP+A3SG+PNON+NOM
Güzelisinizdir	güzel+ADJ^DB+NOUN+ZERO+A3SG+P3SG+NOM^DB+VERB+ZERO+PRES+A2PL+COP
.	.+PUNC
''	''+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Birçok	birçok+DET
Atlantalı	Atlantalı+NOUN+PROP+A3SG+PNON+NOM
Pittsburgh'un	pittsburgh+NOUN+PROP+A3SG+PNON+GEN
değersiz	değer+NOUN+A3SG+PNON+NOM^DB+ADJ+WITHOUT
bir	bir+ADJ
varis	varis+NOUN+A3SG+PNON+NOM
olduğunu	ol+VERB+POS^DB+NOUN+PASTPART+A3SG+P3SG+ACC
düşündü	düş+NOUN+A3SG+P2SG+NOM^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Gary	gary+NOUN+PROP+A3SG+PNON+NOM
,	,+PUNC
Ind.'ten	Ind.'ten+NOUN+PROP+A3SG+PNON+NOM
İki	iki+NUM+CARD
kişi	kişi+NOUN+A3SG+PNON+NOM
mi	mi+QUES+PRES+A3SG
?	?+PUNC
''	''+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Öyle	öyle+ADV
değil	değil+ADJ
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bay	bay+NOUN+A3SG+PNON+NOM
Savageau	Savageau+NOUN+PROP+A3SG+PNON+NOM
Deprem	deprem+NOUN+A3SG+PNON+NOM
ya	ya+CONJ
da	da+CONJ
değil	değil+ADJ
,	,+PUNC
San	san+NOUN+PROP+A3SG+PNON+NOM
Francisco'nun	francisco+NOUN+PROP+A3SG+PNON+GEN
listeye	liste+NOUN+A3SG+PNON+DAT
girdiğini	gir+VERB+POS^DB+NOUN+PASTPART+A3SG+P3SG+ACC
söylüyor	söyle+VERB+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
``	``+PUNC
Sanki	sanki+ADV
siste	sis+NOUN+A3SG+PNON+LOC
yolunu	yol+NOUN+A3SG+P3SG+ACC
bulmaya	bul+VERB+POS^DB+NOUN+INF2+A3SG+PNON+DAT
çalışıyormuşsun	çalış+VERB+POS+PROG1+NARR+A2SG
gibi	gibi+POSTP+PCNOM
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Hangi	hangi+PRON+QUESP+A3SG+PNON+NOM
yöne	yön+NOUN+A3SG+PNON+DAT
baskı	baskı+NOUN+A3SG+PNON+NOM
yapacağını	yap+VERB+POS^DB+NOUN+FUTPART+A3SG+P3SG+ACC
bilmiyorsun	bil+VERB+NEG+PROG1+A2SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
General	general+NOUN+A3SG+PNON+NOM
Dynamics	dynamics+NOUN+PROP+A3SG+PNON+NOM
50	50+NUM+CARD
sent	sent+NOUN+A3SG+PNON+NOM
artarak	art+VERB+POS^DB+ADV+BYDOINGSO
,	,+PUNC
54.875	54.875+NUM+REAL
Amerikan	amerikan+NOUN+A3SG+PNON+NOM
Doları'nda	dolar+NOUN+A3SG+P3SG+LOC
kapandı	kapan+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bunların	bu+PRON+DEMONSP+A3PL+PNON+GEN
arasında	ara+NOUN+A3SG+P3SG+LOC
F-15	F-15+NOUN+PROP+A3SG+PNON+NOM
savaş	savaş+NOUN+A3SG+PNON+NOM
uçaklarına	uçak+NOUN+A3PL+P3PL+DAT
ilişkin	ilişkin+POSTP+PCDAT
ALQ-135	ALQ-135+NOUN+PROP+A3SG+PNON+NOM
elektronik	elektronik+ADJ
karşı	karşı+ADV
önlem	önlem+NOUN+A3SG+PNON+NOM
sistemi	sistem+NOUN+A3SG+P3SG+NOM
de	de+CONJ
vardı	var+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Satışlar	sat+VERB+POS^DB+NOUN+INF3+A3PL+PNON+NOM
%	%+PERCENT
3.6	3.6+NUM+REAL
azalarak	azal+VERB+POS^DB+ADV+BYDOINGSO
4.07	4.07+NUM+REAL
milyar	milyar+NUM+CARD
Amerikan	amerikan+NOUN+A3SG+PNON+NOM
Doları'ndan	dolar+NOUN+A3SG+P3SG+ABL
3.92	3.92+NUM+REAL
milyar	milyar+NUM+CARD
Amerikan	amerikan+NOUN+A3SG+PNON+NOM
Doları'na	dolar+NOUN+A3SG+P3SG+DAT
düştü	düş+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Faiz	faiz+NOUN+A3SG+PNON+NOM
masrafı	masraf+NOUN+A3SG+P3SG+NOM
12.4	12.4+NUM+REAL
milyondan	milyon+NUM+CARD^DB+NOUN+ZERO+A3SG+PNON+ABL
21.5	21.5+NUM+REAL
milyon	milyon+NUM+CARD
Amerikan	amerikan+NOUN+A3SG+PNON+NOM
Doları'na	dolar+NOUN+A3SG+P3SG+DAT
yükseldi	yüksel+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Silikon	silikon+NOUN+A3SG+PNON+NOM
Vadisi	vadi+NOUN+A3SG+P3SG+NOM
dün	dün+NOUN+A3SG+PNON+NOM
rahatlamadan	rahatla+VERB+POS^DB+NOUN+INF2+A3SG+PNON+ABL
kaynaklanan	kaynak+NOUN+A3SG+PNON+NOM^DB+VERB+ACQUIRE+POS^DB+ADJ+PRESPART
bir	bir+ADJ
iç	iç+NOUN+A3SG+PNON+NOM
çekmesi	çek+VERB+POS^DB+NOUN+INF2+A3SG+P3SG+NOM
yaşadı	yaşa+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Sun	sun+NOUN+PROP+A3SG+PNON+NOM
Microsystems	Microsystems+NOUN+PROP+A3SG+PNON+NOM
Inc.	ınc.+NOUN+PROP+A3SG+PNON+NOM
ve	ve+CONJ
Tandem	tandem+NOUN+PROP+A3SG+PNON+NOM
Computers	Computers+NOUN+PROP+A3SG+PNON+NOM
Inc.	ınc.+NOUN+PROP+A3SG+PNON+NOM
de	de+CONJ
çabukça	çabuk+ADJ^DB+ADV+LY
iyileşmeleri	iyi+ADJ^DB+VERB+BECOME+POS^DB+NOUN+INF2+A3PL+PNON+ACC
gerektiği	gerek+VERB+POS^DB+ADJ+PASTPART+P3SG
sinyalini	sinyal+NOUN+A3SG+P3SG+ACC
verdi	ver+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Makine	makine+NOUN+A3SG+PNON+NOM
takımları	takım+NOUN+A3PL+P3SG+NOM
bile	bile+ADV
dükkan	dükkan+NOUN+A3SG+PNON+NOM
zeminine	zemin+NOUN+A3SG+P3SG+DAT
cıvata	cıvata+NOUN+A3SG+PNON+NOM
ile	ile+CONJ
tutturuldu	tuttur+VERB^DB+VERB+PASS+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bilgisayar	bilgisayar+NOUN+A3SG+PNON+NOM
imalatçıları	imalatçı+NOUN+A3PL+P3SG+NOM
müşterilere	müşteri+NOUN+A3PL+PNON+DAT
bu	bu+DET
felaketten	felaket+NOUN+A3SG+PNON+ABL
kurtulmaları	kurtul+VERB+POS^DB+NOUN+INF2+A3PL+P3SG+NOM
için	için+POSTP+PCNOM
yardım	yardım+NOUN+A3SG+PNON+NOM
etmeye	et+VERB+POS^DB+NOUN+INF2+A3SG+PNON+DAT
çabalıyordu	çabala+VERB+POS+PROG1+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Sonra	sonra+ADV
uzaktan	uzak+ADJ^DB+NOUN+ZERO+A3SG+PNON+ABL
kontrol	kontrol+NOUN+A3SG+PNON+NOM
edilen	et+VERB^DB+VERB+PASS+POS^DB+ADJ+PRESPART
self	self+NOUN+A3SG+PNON+NOM
diagnostik	diagnostik+NOUN+A3SG+PNON+NOM
programlarına	program+NOUN+A3PL+P3SG+DAT
koştular	koş+VERB+POS+PAST+A3PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Digital	digital+NOUN+PROP+A3SG+PNON+NOM
ayrıca	ayrıca+ADV
Kaliforniya'ya	kaliforniya+NOUN+PROP+A3SG+PNON+DAT
teknik	teknik+NOUN+A3SG+PNON+NOM
ekipler	ekip+NOUN+A3PL+PNON+NOM
sevk	sevk+NOUN+A3SG+PNON+NOM
ettiğini	et+VERB+POS^DB+NOUN+PASTPART+A3SG+P3SG+ACC
söyledi	söyle+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
